Entry Name,true_compartments,predicted_compartments
SC6A2_HUMAN,Membrane,Membrane
EFC1_HUMAN,Membrane,Membrane
JADE1_HUMAN,"Membrane,Nucleus,Cytoplasm","Membrane,Nucleus,Cytoplasm"
BORA_HUMAN,"Nucleus,Cytoplasm",None provided
PALM3_HUMAN,"Membrane,Cytoplasm",Cytoplasm
HYAL1_HUMAN,"Extracellular,Cytoplasm","Membrane,Extracellular"
SESD1_HUMAN,None provided,None provided
LRTM2_HUMAN,Membrane,Membrane
C1QBP_HUMAN,"Membrane,Extracellular,Nucleus,Cytoplasm","Membrane,Extracellular,Nucleus,Cytoplasm"
CCNJL_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
TMED1_HUMAN,"Golgi,Membrane,Endoplasmic_Reticulum","Golgi,Membrane,Endoplasmic_Reticulum"
EFTU_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
PKHA1_HUMAN,"Membrane,Extracellular,Cytoplasm",Cytoplasm
UBQL4_HUMAN,"Membrane,Endoplasmic_Reticulum,Nucleus,Cytoplasm","Membrane,Endoplasmic_Reticulum,Nucleus,Cytoplasm"
ADA10_HUMAN,"Golgi,Membrane,Extracellular,Endoplasmic_Reticulum,Nucleus,Cytoplasm","Golgi,Membrane,Extracellular,Endoplasmic_Reticulum,Nucleus,Cytoplasm"
ATL5_HUMAN,Extracellular,Extracellular
SPN90_HUMAN,Nucleus,None provided
KLKB1_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
SH3B4_HUMAN,"Extracellular,Nucleus,Cytoplasm","Extracellular,Nucleus,Cytoplasm"
CF015_HUMAN,Extracellular,Extracellular
SAE1_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
AIFM1_HUMAN,"Membrane,Nucleus,Cytoplasm","Membrane,Nucleus,Cytoplasm"
MFNG_HUMAN,"Golgi,Membrane,Extracellular","Golgi,Membrane,Extracellular"
FKBP8_HUMAN,"Membrane,Endoplasmic_Reticulum","Membrane,Endoplasmic_Reticulum"
ACOX2_HUMAN,Membrane,Membrane
KLH17_HUMAN,"Extracellular,Cytoplasm",Membrane
OR2T1_HUMAN,Membrane,Membrane
SIA4A_HUMAN,"Golgi,Membrane,Extracellular","Golgi,Membrane,Extracellular"
ZN215_HUMAN,Nucleus,Nucleus
ZN283_HUMAN,Nucleus,Nucleus
PANX1_HUMAN,"Membrane,Endoplasmic_Reticulum",Membrane
SC5A8_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
AL1B1_HUMAN,None provided,None provided
GDS1_HUMAN,"Extracellular,Endoplasmic_Reticulum,Nucleus","Extracellular,Endoplasmic_Reticulum,Nucleus"
FES_HUMAN,"Golgi,Membrane,Cytoplasm","Golgi,Membrane,Cytoplasm"
DUT_HUMAN,"Extracellular,Nucleus","Extracellular,Nucleus"
ZN840_HUMAN,Nucleus,Nucleus
RCL1_HUMAN,None provided,None provided
OTU6B_HUMAN,None provided,None provided
IRF2_HUMAN,Nucleus,None provided
CFA99_HUMAN,None provided,None provided
FAM3D_HUMAN,Extracellular,Extracellular
SOGA3_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
RNF44_HUMAN,None provided,None provided
WDR89_HUMAN,None provided,None provided
FBX5_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
PAK4_HUMAN,"Golgi,Cytoplasm","Golgi,Cytoplasm"
AAKG3_HUMAN,"Extracellular,Nucleus,Cytoplasm","Extracellular,Nucleus,Cytoplasm"
IF2B2_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
SPB8_HUMAN,"Extracellular,Cytoplasm","Extracellular,Cytoplasm"
RAB1A_HUMAN,"Golgi,Membrane,Extracellular,Endoplasmic_Reticulum","Golgi,Membrane,Extracellular,Endoplasmic_Reticulum"
2A5E_HUMAN,"Nucleus,Cytoplasm",Membrane
NGLY1_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
PPB1_HUMAN,Membrane,None provided
CNR1_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
IQCK_HUMAN,None provided,None provided
P3H1_HUMAN,"Membrane,Extracellular,Endoplasmic_Reticulum,Nucleus,Cytoplasm","Membrane,Extracellular,Endoplasmic_Reticulum,Nucleus,Cytoplasm"
RHNO1_HUMAN,Nucleus,Nucleus
T10IP_HUMAN,None provided,None provided
BRDT_HUMAN,Nucleus,Nucleus
XIAP_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
AMOL2_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
AL1A3_HUMAN,"Extracellular,Cytoplasm",Cytoplasm
MITF_HUMAN,"Membrane,Nucleus,Cytoplasm","Membrane,Nucleus,Cytoplasm"
RPB3_HUMAN,Nucleus,Nucleus
P4HA2_HUMAN,"Membrane,Endoplasmic_Reticulum","Membrane,Endoplasmic_Reticulum"
PHLA1_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
G3ST1_HUMAN,"Golgi,Membrane",Membrane
KLD8A_HUMAN,None provided,None provided
SPDE4_HUMAN,None provided,None provided
ZN491_HUMAN,Nucleus,Nucleus
TSN8_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
ZN781_HUMAN,Nucleus,Nucleus
RED2_HUMAN,Cytoplasm,Cytoplasm
DUS16_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
DCK_HUMAN,Cytoplasm,None provided
GLNA_HUMAN,"Membrane,Extracellular,Endoplasmic_Reticulum,Nucleus,Cytoplasm","Membrane,Extracellular,Endoplasmic_Reticulum,Nucleus,Cytoplasm"
GAK1B_HUMAN,"Golgi,Membrane",None provided
S53A1_HUMAN,"Golgi,Membrane,Cytoplasm","Golgi,Membrane,Cytoplasm"
PDE4C_HUMAN,"Extracellular,Nucleus,Cytoplasm","Extracellular,Nucleus,Cytoplasm"
CLPT1_HUMAN,Membrane,Membrane
ACTZ_HUMAN,"Extracellular,Cytoplasm","Extracellular,Cytoplasm"
PPM1M_HUMAN,Nucleus,Nucleus
KIF28_HUMAN,Membrane,"Membrane,Cytoplasm"
ZN233_HUMAN,Nucleus,Nucleus
CNOT6_HUMAN,"Membrane,Nucleus,Cytoplasm","Membrane,Nucleus,Cytoplasm"
CLK2_HUMAN,Nucleus,Nucleus
GOLP3_HUMAN,"Golgi,Membrane",Membrane
CSDE1_HUMAN,"Golgi,Membrane,Cytoplasm","Golgi,Membrane,Cytoplasm"
SYC2L_HUMAN,Nucleus,Membrane
MACIR_HUMAN,Cytoplasm,Cytoplasm
TMTC2_HUMAN,"Membrane,Endoplasmic_Reticulum","Membrane,Endoplasmic_Reticulum"
OR2G2_HUMAN,Membrane,Membrane
CALRL_HUMAN,"Membrane,Endoplasmic_Reticulum,Cytoplasm","Membrane,Endoplasmic_Reticulum,Cytoplasm"
TGM7_HUMAN,None provided,None provided
GMDS_HUMAN,"Extracellular,Cytoplasm","Extracellular,Cytoplasm"
CCD30_HUMAN,None provided,None provided
KLK11_HUMAN,"Golgi,Extracellular","Golgi,Extracellular"
CLC4K_HUMAN,Membrane,Membrane
ZN442_HUMAN,Nucleus,Nucleus
MOS_HUMAN,Cytoplasm,Cytoplasm
PIBF1_HUMAN,"Extracellular,Nucleus,Cytoplasm","Extracellular,Nucleus,Cytoplasm"
C102B_HUMAN,Cytoplasm,Cytoplasm
PP6R1_HUMAN,Nucleus,Nucleus
ZDHC7_HUMAN,"Golgi,Membrane,Endoplasmic_Reticulum",Membrane
CXCR6_HUMAN,Membrane,Membrane
GDIR3_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
CLK3_HUMAN,"Membrane,Nucleus","Membrane,Nucleus"
LMX1B_HUMAN,Nucleus,Nucleus
KGP1_HUMAN,"Golgi,Membrane,Cytoplasm","Membrane,Nucleus"
HXC13_HUMAN,Nucleus,Nucleus
TF2B_HUMAN,Nucleus,Nucleus
RN19B_HUMAN,"Membrane,Endoplasmic_Reticulum,Cytoplasm","Membrane,Endoplasmic_Reticulum,Cytoplasm"
TBL3_HUMAN,None provided,None provided
CY24B_HUMAN,"Membrane,Endoplasmic_Reticulum","Membrane,Endoplasmic_Reticulum"
KHDR2_HUMAN,Nucleus,Nucleus
FZD1_HUMAN,Membrane,Membrane
IF4E_HUMAN,"Extracellular,Nucleus,Cytoplasm","Extracellular,Nucleus,Cytoplasm"
ZSCA4_HUMAN,Nucleus,Nucleus
HXB8_HUMAN,Nucleus,Nucleus
HAUS1_HUMAN,None provided,Nucleus
MARH8_HUMAN,"Golgi,Membrane,Endoplasmic_Reticulum,Cytoplasm","Golgi,Membrane,Endoplasmic_Reticulum,Cytoplasm"
ARH38_HUMAN,Cytoplasm,Cytoplasm
UNKL_HUMAN,Nucleus,Nucleus
RFIP2_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
TS1R3_HUMAN,"Golgi,Membrane","Golgi,Membrane"
EIF3L_HUMAN,Membrane,Membrane
STRP2_HUMAN,Cytoplasm,Cytoplasm
TM86A_HUMAN,"Membrane,Endoplasmic_Reticulum","Membrane,Endoplasmic_Reticulum"
TTC4_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
KC1G2_HUMAN,"Membrane,Nucleus","Membrane,Nucleus"
NR1H3_HUMAN,"Nucleus,Cytoplasm",None provided
NDUV2_HUMAN,Membrane,Extracellular
SNP25_HUMAN,"Golgi,Membrane,Cytoplasm","Golgi,Membrane,Cytoplasm"
GALNS_HUMAN,Extracellular,Extracellular
RHOJ_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
CCD89_HUMAN,"Nucleus,Cytoplasm",None provided
KIF3B_HUMAN,"Membrane,Extracellular,Cytoplasm","Membrane,Extracellular,Cytoplasm"
KRA91_HUMAN,None provided,None provided
TEFF1_HUMAN,Membrane,"Extracellular,Nucleus"
ZN567_HUMAN,Nucleus,Nucleus
CR021_HUMAN,None provided,None provided
HEM0_HUMAN,Membrane,Membrane
KLH31_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
SRR_HUMAN,Cytoplasm,Cytoplasm
HNF1A_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
FADS6_HUMAN,Membrane,Membrane
HSFX3_HUMAN,Nucleus,Nucleus
TBCD5_HUMAN,"Golgi,Membrane","Golgi,Membrane"
O10A5_HUMAN,Membrane,Membrane
PDLI7_HUMAN,None provided,None provided
FCGR1_HUMAN,Membrane,Membrane
GLT16_HUMAN,"Golgi,Membrane","Golgi,Membrane"
CSN8_HUMAN,"Extracellular,Nucleus,Cytoplasm",None provided
EEIG2_HUMAN,None provided,None provided
G3BP1_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
EKI1_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
OR7C1_HUMAN,Membrane,Membrane
LBHD1_HUMAN,Nucleus,Nucleus
CCG1_HUMAN,Membrane,Membrane
KCNRG_HUMAN,Endoplasmic_Reticulum,Endoplasmic_Reticulum
PTBP1_HUMAN,"Membrane,Extracellular,Nucleus","Membrane,Extracellular,Nucleus"
IQCE_HUMAN,Membrane,Membrane
RIP_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
NDOR1_HUMAN,Cytoplasm,Membrane
OSTM1_HUMAN,Membrane,Membrane
SAM50_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
CAH10_HUMAN,None provided,None provided
GATA1_HUMAN,Nucleus,None provided
HOT_HUMAN,None provided,None provided
TFEB_HUMAN,"Membrane,Nucleus,Cytoplasm","Membrane,Nucleus,Cytoplasm"
ZBT43_HUMAN,Nucleus,Nucleus
DDRGK_HUMAN,"Membrane,Endoplasmic_Reticulum,Cytoplasm","Membrane,Endoplasmic_Reticulum,Cytoplasm"
KDM4F_HUMAN,Nucleus,None provided
MMP8_HUMAN,Extracellular,Extracellular
PBIR1_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
ERGI1_HUMAN,"Golgi,Membrane,Endoplasmic_Reticulum","Golgi,Membrane,Endoplasmic_Reticulum"
PYGO1_HUMAN,None provided,None provided
CEL_HUMAN,"Extracellular,Cytoplasm","Extracellular,Cytoplasm"
PRI2_HUMAN,None provided,None provided
PITM3_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
S35F1_HUMAN,Membrane,Membrane
MBNL3_HUMAN,Nucleus,Nucleus
EPMIP_HUMAN,"Membrane,Endoplasmic_Reticulum,Nucleus,Cytoplasm","Membrane,Endoplasmic_Reticulum,Nucleus,Cytoplasm"
KLH40_HUMAN,Cytoplasm,None provided
MUTA_HUMAN,Cytoplasm,Cytoplasm
RNPC3_HUMAN,Nucleus,Nucleus
ZN524_HUMAN,Nucleus,Nucleus
K2C4_HUMAN,Nucleus,Nucleus
S6A20_HUMAN,Membrane,Membrane
NSMF_HUMAN,"Membrane,Nucleus,Cytoplasm","Membrane,Nucleus,Cytoplasm"
PDILT_HUMAN,Endoplasmic_Reticulum,Endoplasmic_Reticulum
NRL_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
ASTRB_HUMAN,"Membrane,Endoplasmic_Reticulum","Membrane,Endoplasmic_Reticulum"
STOX1_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
VPS51_HUMAN,"Golgi,Membrane","Golgi,Membrane"
CEP89_HUMAN,Membrane,Membrane
MLC1_HUMAN,"Membrane,Endoplasmic_Reticulum,Cytoplasm","Membrane,Endoplasmic_Reticulum,Cytoplasm"
MTLR_HUMAN,Membrane,Membrane
T200C_HUMAN,Membrane,Membrane
PNM8B_HUMAN,None provided,None provided
CD2B2_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
GTR3_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
HMOX1_HUMAN,"Membrane,Extracellular,Endoplasmic_Reticulum,Nucleus,Cytoplasm","Membrane,Extracellular,Endoplasmic_Reticulum,Nucleus,Cytoplasm"
GSTO2_HUMAN,"Extracellular,Cytoplasm","Extracellular,Cytoplasm"
AK17A_HUMAN,Nucleus,Nucleus
PGBD1_HUMAN,Membrane,Membrane
PED1B_HUMAN,None provided,None provided
RASFA_HUMAN,None provided,None provided
NRBF2_HUMAN,Cytoplasm,Cytoplasm
SPRE_HUMAN,Extracellular,Membrane
HXC10_HUMAN,Nucleus,Nucleus
K0513_HUMAN,Cytoplasm,Cytoplasm
GRPE2_HUMAN,Membrane,Membrane
TY3H_HUMAN,"Membrane,Endoplasmic_Reticulum,Nucleus,Cytoplasm","Membrane,Endoplasmic_Reticulum,Nucleus,Cytoplasm"
MOG_HUMAN,Membrane,Membrane
NUCG_HUMAN,"Membrane,Nucleus","Membrane,Nucleus"
CUL2_HUMAN,None provided,None provided
ESTD_HUMAN,"Extracellular,Endoplasmic_Reticulum,Cytoplasm","Extracellular,Endoplasmic_Reticulum,Cytoplasm"
GBRP_HUMAN,Membrane,Membrane
OR5MA_HUMAN,Membrane,Membrane
MLEC_HUMAN,"Membrane,Endoplasmic_Reticulum","Membrane,Endoplasmic_Reticulum"
BMP3_HUMAN,Extracellular,Extracellular
SHLD3_HUMAN,None provided,None provided
ACD_HUMAN,None provided,None provided
YLAT1_HUMAN,Membrane,Membrane
GBP5_HUMAN,"Golgi,Membrane,Cytoplasm","Golgi,Membrane,Cytoplasm"
UTP4_HUMAN,None provided,None provided
BCAT1_HUMAN,None provided,None provided
EFCB7_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
FOXQ1_HUMAN,Nucleus,Nucleus
ZN550_HUMAN,Nucleus,Nucleus
RA54B_HUMAN,Nucleus,Nucleus
HEM3_HUMAN,Cytoplasm,None provided
SIR7_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
K1908_HUMAN,None provided,None provided
CLMP_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
T176B_HUMAN,Membrane,Membrane
OR2F1_HUMAN,Membrane,Membrane
ZDH13_HUMAN,"Golgi,Membrane,Endoplasmic_Reticulum",Membrane
NEMP1_HUMAN,Membrane,Membrane
Z3H7A_HUMAN,Nucleus,Nucleus
ABCD4_HUMAN,"Membrane,Endoplasmic_Reticulum","Membrane,Endoplasmic_Reticulum"
UBIP1_HUMAN,Nucleus,Nucleus
SCAM2_HUMAN,"Golgi,Membrane,Extracellular","Golgi,Membrane,Extracellular"
FRRS1_HUMAN,Membrane,Membrane
PAMR1_HUMAN,Extracellular,Extracellular
CSAD_HUMAN,Cytoplasm,Cytoplasm
CREL2_HUMAN,"Golgi,Extracellular,Endoplasmic_Reticulum","Golgi,Extracellular,Endoplasmic_Reticulum"
CHKB_HUMAN,Cytoplasm,Cytoplasm
TISD_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
T161A_HUMAN,Membrane,Membrane
ENPP4_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
EXOC8_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
GTPB8_HUMAN,None provided,None provided
POC1A_HUMAN,Cytoplasm,None provided
UTP25_HUMAN,None provided,None provided
NP1L3_HUMAN,Nucleus,Nucleus
TRI48_HUMAN,Cytoplasm,Cytoplasm
TRPC4_HUMAN,Membrane,"Membrane,Cytoplasm"
FUT10_HUMAN,"Golgi,Membrane,Endoplasmic_Reticulum","Golgi,Membrane,Endoplasmic_Reticulum"
PRDM1_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
F220A_HUMAN,Nucleus,Nucleus
SEP10_HUMAN,None provided,None provided
UTF1_HUMAN,Nucleus,None provided
GP107_HUMAN,"Golgi,Membrane","Golgi,Membrane"
FA98C_HUMAN,None provided,None provided
FXRD2_HUMAN,Endoplasmic_Reticulum,Membrane
SSDH_HUMAN,None provided,None provided
S39A6_HUMAN,"Membrane,Endoplasmic_Reticulum","Membrane,Endoplasmic_Reticulum"
NAGAB_HUMAN,"Extracellular,Cytoplasm","Extracellular,Cytoplasm"
CBX7_HUMAN,Nucleus,Nucleus
KLF6_HUMAN,"Membrane,Nucleus","Membrane,Nucleus"
E2F5_HUMAN,Membrane,Membrane
KCNG3_HUMAN,"Membrane,Endoplasmic_Reticulum","Membrane,Endoplasmic_Reticulum"
EIF3M_HUMAN,None provided,None provided
WWP2_HUMAN,"Membrane,Extracellular,Nucleus,Cytoplasm","Membrane,Extracellular,Nucleus,Cytoplasm"
STAR5_HUMAN,None provided,None provided
KS6A2_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
ANGE2_HUMAN,Cytoplasm,Cytoplasm
CLM7_HUMAN,Membrane,Membrane
OTC_HUMAN,Membrane,Membrane
ARM12_HUMAN,"Membrane,Nucleus",None provided
MYOC_HUMAN,"Golgi,Membrane,Extracellular,Endoplasmic_Reticulum,Cytoplasm","Golgi,Membrane,Extracellular,Endoplasmic_Reticulum,Cytoplasm"
MUTYH_HUMAN,Nucleus,Nucleus
SP100_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
HCN2_HUMAN,Membrane,Membrane
ABHD3_HUMAN,Membrane,Membrane
CD244_HUMAN,Membrane,Membrane
KLF15_HUMAN,"Membrane,Nucleus","Membrane,Nucleus"
CLD11_HUMAN,Membrane,Membrane
ATOH8_HUMAN,"Nucleus,Cytoplasm",Nucleus
CCNG1_HUMAN,"Nucleus,Cytoplasm",Nucleus
PCDAD_HUMAN,Membrane,Membrane
CK5P3_HUMAN,"Membrane,Nucleus,Cytoplasm",None provided
F110A_HUMAN,Nucleus,Nucleus
TFB2M_HUMAN,None provided,None provided
IRF7_HUMAN,"Membrane,Nucleus,Cytoplasm","Membrane,Nucleus,Cytoplasm"
KLH29_HUMAN,None provided,None provided
GS1L2_HUMAN,Membrane,Membrane
RAB6B_HUMAN,"Golgi,Membrane,Endoplasmic_Reticulum,Cytoplasm","Golgi,Membrane,Endoplasmic_Reticulum,Cytoplasm"
I13R1_HUMAN,Membrane,Membrane
GPC5B_HUMAN,"Membrane,Extracellular,Cytoplasm","Membrane,Extracellular,Cytoplasm"
KRT86_HUMAN,Extracellular,Extracellular
PARP6_HUMAN,Endoplasmic_Reticulum,Endoplasmic_Reticulum
ZN841_HUMAN,Nucleus,Nucleus
BPIA2_HUMAN,Extracellular,Extracellular
NPIA1_HUMAN,Membrane,Membrane
AMRP_HUMAN,"Golgi,Membrane,Extracellular,Endoplasmic_Reticulum","Golgi,Membrane,Extracellular,Endoplasmic_Reticulum"
DBP_HUMAN,Nucleus,Nucleus
GLYG2_HUMAN,Cytoplasm,Cytoplasm
RENR_HUMAN,"Golgi,Membrane,Extracellular,Endoplasmic_Reticulum","Golgi,Membrane,Extracellular,Endoplasmic_Reticulum"
MYD88_HUMAN,"Membrane,Nucleus,Cytoplasm",None provided
U1SBP_HUMAN,Nucleus,Nucleus
KPCD3_HUMAN,Membrane,Membrane
KIF2B_HUMAN,None provided,None provided
RS4X_HUMAN,"Membrane,Extracellular,Cytoplasm","Membrane,Extracellular,Cytoplasm"
PDLI1_HUMAN,Cytoplasm,Cytoplasm
PTN7_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
CRCM1_HUMAN,Membrane,Membrane
TIM44_HUMAN,Membrane,Membrane
PYRD_HUMAN,Membrane,None provided
TGR3L_HUMAN,Membrane,Membrane
DMA_HUMAN,Membrane,Membrane
STX16_HUMAN,"Golgi,Membrane,Cytoplasm",Nucleus
NEUR3_HUMAN,"Membrane,Cytoplasm",Membrane
GNT2A_HUMAN,"Golgi,Membrane",Membrane
OVOL1_HUMAN,Nucleus,Nucleus
TNPO3_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
TFG_HUMAN,"Membrane,Endoplasmic_Reticulum,Cytoplasm",Nucleus
RUSF1_HUMAN,Membrane,Membrane
NIT1_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
XKR7_HUMAN,Membrane,Membrane
ZN121_HUMAN,Nucleus,Nucleus
FBX25_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
ZWILC_HUMAN,None provided,None provided
PRR7_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
LAMP3_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
RXFP1_HUMAN,Membrane,Membrane
HAPR1_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
CTLA4_HUMAN,"Golgi,Membrane,Cytoplasm","Golgi,Membrane,Cytoplasm"
SODE_HUMAN,"Golgi,Extracellular","Golgi,Extracellular"
ANKR9_HUMAN,Cytoplasm,None provided
SMBT2_HUMAN,"Membrane,Nucleus","Membrane,Nucleus"
PBIR2_HUMAN,None provided,None provided
ABCG2_HUMAN,Membrane,Membrane
GAB2_HUMAN,"Membrane,Cytoplasm","Membrane,Cytoplasm"
FEM1B_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
INHBE_HUMAN,Extracellular,Extracellular
ELP5_HUMAN,"Nucleus,Cytoplasm",None provided
NR1D2_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
F170A_HUMAN,Nucleus,Nucleus
PKHG7_HUMAN,None provided,None provided
NTR1_HUMAN,"Golgi,Membrane,Endoplasmic_Reticulum,Cytoplasm","Golgi,Membrane,Endoplasmic_Reticulum,Cytoplasm"
F1712_HUMAN,Membrane,Membrane
RASEF_HUMAN,Cytoplasm,Cytoplasm
1433Z_HUMAN,"Extracellular,Nucleus,Cytoplasm","Extracellular,Nucleus,Cytoplasm"
TXD15_HUMAN,Membrane,Membrane
TF65_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
TM236_HUMAN,Membrane,Membrane
DMAP1_HUMAN,"Nucleus,Cytoplasm","Nucleus,Cytoplasm"
BI2L1_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
SATT_HUMAN,"Membrane,Extracellular","Membrane,Extracellular"
