M,R,P,L,S,G,K,T,I,F,A,C,Q,V,Y,N,E,D,H,W,U,Mass
6,17,21,17,12,10,12,18,1,13,11,2,9,9,12,7,9,5,8,2,0,23421
6,12,12,18,15,15,11,14,12,5,9,5,9,15,5,5,13,10,3,7,0,22689
3,14,18,25,15,22,4,8,6,7,16,5,6,21,4,3,9,4,7,4,0,21593
5,15,5,19,12,13,11,9,4,10,17,6,8,14,8,9,10,18,2,6,0,23010
2,9,8,21,8,7,14,17,10,9,11,4,11,11,11,10,20,11,3,4,0,23540
5,9,9,33,11,15,12,8,8,12,15,4,14,3,4,9,14,8,7,1,0,22644
4,9,10,20,20,9,15,14,10,5,20,1,3,11,8,4,19,16,2,1,0,22160
7,8,3,20,12,14,11,13,9,12,11,4,11,11,7,7,22,16,1,2,0,22920
5,10,8,16,7,6,25,11,7,8,19,3,4,5,1,9,33,14,7,3,0,23310
3,17,7,24,11,18,14,10,5,7,20,1,10,19,3,4,14,7,5,2,0,22156
6,12,8,25,10,11,11,8,12,8,19,3,7,10,13,9,11,13,5,0,0,22836
3,11,6,15,18,11,12,13,8,14,12,5,8,14,6,9,13,16,4,3,0,22838
5,6,14,18,10,11,23,15,6,5,7,1,4,16,8,5,21,18,5,3,0,22988
2,14,19,32,19,20,4,7,5,8,7,7,5,13,9,3,13,5,4,5,0,22386
4,10,8,24,13,10,17,13,9,5,11,2,7,17,8,7,19,7,7,3,0,22999
10,11,10,14,12,20,17,6,8,7,11,1,14,16,6,7,15,10,3,3,0,22611
5,10,4,20,12,15,16,16,11,6,10,8,8,16,8,6,13,12,2,3,0,22614
3,12,1,14,10,12,18,14,13,9,9,5,11,19,6,13,13,14,3,2,0,23025
11,10,3,16,9,13,10,14,12,13,17,2,4,18,7,7,20,9,5,1,0,22761
1,19,19,35,14,15,3,6,1,3,35,2,9,9,3,2,12,7,5,1,0,21227
3,12,7,28,8,13,17,11,14,3,11,3,19,10,2,8,15,7,7,3,0,22907
6,8,15,26,21,12,5,8,8,8,7,10,11,16,11,6,7,8,5,3,0,22572
3,23,13,25,7,11,6,8,7,9,12,4,7,16,4,3,16,16,7,4,0,23383
4,17,7,24,10,12,11,15,10,6,17,3,11,16,8,4,10,7,6,3,0,22844
4,5,7,17,13,18,16,16,12,8,15,4,8,12,7,9,11,14,2,3,0,22017
4,4,5,28,21,16,6,9,24,9,7,12,7,14,10,10,7,2,1,5,0,22277
5,23,12,21,6,13,4,12,5,4,27,1,15,14,3,0,22,6,4,4,0,22599
6,17,7,24,9,6,15,6,12,4,14,1,24,10,3,5,29,8,1,0,0,23485
3,11,16,13,21,12,14,15,13,5,12,5,10,9,6,7,11,13,2,3,0,22255
1,18,19,3,29,4,0,19,2,0,1,74,13,11,1,2,2,1,1,0,0,21407
4,8,6,16,13,17,16,17,14,7,15,3,6,12,9,9,12,14,1,2,0,22171
6,9,11,17,24,14,15,11,10,11,21,2,4,11,11,1,7,8,3,5,0,22255
3,7,10,21,21,15,12,10,9,11,14,2,6,23,6,11,8,8,2,2,0,21808
4,12,16,34,10,13,16,8,11,2,16,3,5,16,6,3,13,7,5,1,0,22180
5,14,6,19,24,6,10,5,7,11,6,5,13,11,5,11,19,13,8,3,0,23598
4,18,15,30,8,21,5,12,2,13,20,4,7,19,3,3,3,6,5,4,0,22049
3,11,13,13,24,14,15,12,6,11,9,8,10,6,9,4,9,13,7,5,0,23001
2,14,28,29,13,17,1,12,5,5,13,4,7,6,7,5,17,6,6,5,0,22393
6,12,5,12,25,13,16,11,6,1,13,2,13,8,5,8,26,13,5,2,0,22660
3,11,5,20,20,8,15,17,5,15,22,7,4,3,2,6,21,8,7,3,0,22749
4,6,24,21,19,11,20,11,8,9,13,2,6,12,2,4,15,12,2,1,0,22024
5,6,6,22,7,15,16,19,7,7,17,7,12,11,5,8,16,9,2,5,0,22537
2,15,10,24,11,15,5,12,4,11,24,3,17,17,6,1,9,9,5,2,0,22277
2,6,12,30,10,15,14,10,10,6,17,6,9,15,7,14,3,7,8,1,0,22008
3,3,4,29,14,25,4,6,15,10,15,18,7,11,7,7,10,5,5,4,0,21632
5,3,8,25,8,31,6,7,14,16,11,17,4,13,3,12,4,9,2,4,0,21396
7,11,11,23,11,12,15,7,7,5,12,5,9,15,5,11,14,8,7,7,0,23198
6,16,11,12,30,33,10,4,4,3,19,2,12,8,5,3,11,9,2,2,0,20954
3,24,10,32,10,25,4,3,1,2,21,6,13,5,0,4,26,9,1,3,0,22091
4,17,18,25,16,18,5,5,3,12,12,10,10,9,4,4,10,8,6,6,0,22766
1,0,8,0,37,59,11,0,1,0,1,66,6,8,1,2,0,1,0,0,0,17984
2,6,13,31,19,8,10,6,10,13,9,11,12,7,4,7,12,9,11,2,0,22955
2,12,12,21,12,30,4,12,4,8,17,9,6,9,2,8,10,13,3,8,0,21534
4,8,6,36,14,7,7,17,16,9,22,7,7,12,9,6,4,4,1,6,0,22575
2,23,24,20,11,18,3,8,4,5,26,8,4,11,9,4,10,8,2,2,0,21893
2,9,18,12,33,5,15,13,4,5,12,1,10,16,1,6,22,14,1,3,0,22195
3,20,11,26,19,14,7,12,3,6,15,4,16,11,5,2,10,6,9,3,0,22770
5,8,19,20,13,12,4,7,13,10,11,6,6,16,5,14,16,11,4,2,0,22434
4,7,6,30,16,4,16,8,9,9,19,1,17,12,2,8,20,6,6,2,0,22966
10,4,8,32,25,12,8,6,14,16,17,9,2,9,11,4,3,6,4,3,0,22507
7,11,4,18,23,9,13,14,8,8,10,5,10,15,6,10,9,15,2,6,0,23155
4,14,15,23,11,17,6,7,6,11,24,5,7,13,4,10,13,8,2,2,1,22088
5,22,9,23,3,13,28,8,7,6,16,1,6,20,8,6,9,5,6,2,0,23577
7,16,8,19,17,12,14,5,14,7,13,3,12,10,7,5,19,10,4,1,0,23256
5,11,2,16,14,16,23,13,17,9,14,4,5,7,5,12,12,14,2,2,0,22774
9,10,7,30,10,11,14,9,12,8,14,3,9,16,6,8,13,4,3,7,0,23363
4,12,5,19,15,12,10,12,14,10,12,6,10,13,8,11,19,9,0,2,0,23058
1,8,9,13,13,12,25,17,9,7,10,12,5,3,9,12,20,1,15,2,0,23384
5,15,16,19,22,6,12,13,5,8,26,5,12,5,7,2,15,7,3,0,0,22496
5,11,17,22,18,12,9,11,10,5,7,14,13,20,3,3,10,7,4,2,0,22357
3,29,22,21,19,21,2,5,4,7,16,12,9,13,0,3,5,2,6,4,0,22154
2,26,17,24,9,19,5,4,6,6,23,5,5,14,7,2,7,14,4,4,0,22541
5,14,3,13,15,14,13,10,6,9,14,5,9,22,12,3,14,16,4,2,0,23124
4,17,7,18,11,7,26,8,13,5,12,4,11,5,4,10,22,12,5,2,0,23864
3,19,7,19,11,11,8,10,14,8,14,10,7,22,8,7,8,6,7,4,0,23229
5,11,10,21,12,10,22,10,8,5,14,3,10,13,7,7,14,13,4,4,0,23240
6,10,13,27,20,16,6,6,8,11,15,5,8,14,6,4,10,7,7,4,0,22471
3,14,8,32,14,5,11,2,9,6,17,2,18,16,4,4,14,16,4,4,0,23373
2,10,12,6,18,22,28,11,4,9,12,1,6,4,7,10,23,14,2,2,0,22620
5,14,13,21,9,16,23,5,10,5,14,4,5,15,4,5,21,10,4,1,0,22873
9,8,10,19,18,18,11,20,5,9,11,20,4,11,2,5,8,6,10,0,0,21926
3,20,9,13,15,11,13,15,10,9,12,2,19,5,5,9,21,5,5,3,0,23817
1,15,18,20,16,16,8,6,4,10,11,6,19,8,9,6,8,7,12,4,0,23376
1,24,21,21,13,26,1,7,2,0,21,6,18,16,2,0,7,4,7,7,0,21949
2,8,5,30,14,19,4,5,16,14,16,12,8,19,5,12,5,4,3,3,0,22147
5,17,7,15,11,10,16,11,16,4,24,3,6,13,5,12,13,9,4,3,0,22876
4,9,10,16,15,11,19,10,10,5,13,1,8,15,9,6,22,15,3,3,0,23207
2,16,25,16,21,23,3,10,5,5,22,11,5,3,0,6,12,10,5,4,0,21308
3,33,9,15,9,18,17,8,8,6,14,2,9,12,10,4,6,5,11,5,0,24146
6,16,6,12,8,16,13,10,12,11,13,4,17,15,7,2,17,15,3,1,0,23400
6,8,27,19,8,20,10,4,1,4,34,1,9,4,3,2,35,8,0,1,0,21466
9,18,13,16,21,4,15,6,4,5,15,6,14,7,9,12,12,9,5,4,0,23884
8,7,4,18,23,12,16,19,5,7,18,1,11,9,2,7,24,6,6,1,0,22449
6,12,3,23,13,9,19,7,13,3,11,4,12,8,6,6,28,12,8,1,0,23743
8,15,8,19,15,7,11,6,8,5,19,3,11,14,6,5,23,12,7,2,0,23390
6,15,10,11,14,26,11,14,14,7,6,3,10,13,4,16,10,8,4,2,0,22423
6,7,13,25,11,11,13,9,8,6,21,6,7,21,3,3,11,13,5,5,0,22395
10,15,9,24,8,4,23,10,12,3,14,4,12,9,1,3,27,13,2,1,0,23732
3,12,16,17,17,15,13,9,4,4,23,3,8,14,5,4,12,10,10,5,0,22349
5,14,12,31,9,14,7,7,8,5,23,5,9,11,3,9,8,12,7,5,0,22578
1,16,17,18,14,12,23,12,3,2,22,0,15,9,4,3,27,5,0,1,0,22656
1,17,26,23,14,20,7,10,2,9,24,6,5,8,2,2,15,11,0,2,0,21640
3,9,18,24,21,18,5,8,6,7,18,9,9,11,5,3,11,11,2,6,0,21983
4,21,13,30,10,14,4,14,2,12,21,4,10,11,5,1,10,8,3,7,0,23204
8,11,12,9,20,17,17,6,8,6,14,3,4,16,1,8,23,12,7,2,0,22417
4,10,11,27,18,10,12,6,10,8,16,7,9,9,7,7,13,14,4,2,0,22876
5,10,18,11,16,18,9,14,5,13,8,2,13,23,9,5,8,11,2,4,0,22775
5,7,14,17,17,8,6,10,9,9,11,3,7,20,7,16,19,13,3,3,0,22969
3,5,13,18,15,13,11,11,11,12,10,4,4,19,5,5,21,14,5,5,0,22918
1,25,25,17,15,21,7,3,4,4,35,10,8,7,1,2,13,1,3,3,0,21545
4,5,18,35,21,15,6,13,3,11,16,1,13,12,7,4,3,5,11,2,0,22297
2,16,21,16,21,13,7,14,6,7,17,1,7,13,5,2,16,10,5,6,0,22783
7,14,6,29,12,13,12,12,10,10,9,7,7,12,7,2,14,11,6,5,0,23775
5,6,12,21,7,14,16,12,11,7,15,10,7,19,9,6,12,12,3,1,0,22659
2,10,15,24,13,6,11,8,8,8,14,6,12,11,9,6,14,11,13,4,0,23787
10,9,9,15,22,9,17,11,8,1,17,1,10,2,5,8,26,19,5,1,0,23015
3,10,13,10,19,18,13,6,9,8,8,2,17,13,9,8,14,11,9,5,0,23380
15,10,9,17,8,15,12,13,14,9,16,5,8,14,8,6,9,14,2,1,0,22949
4,8,6,18,25,6,26,5,9,9,15,11,7,8,5,9,19,9,4,2,0,23256
5,24,14,13,10,13,9,11,1,10,21,10,8,5,3,4,12,20,7,5,0,23449
6,11,15,21,7,8,15,9,11,11,4,8,9,13,10,9,22,7,7,2,0,24307
5,7,4,15,16,17,17,18,14,8,13,4,8,13,9,9,12,13,1,2,0,22678
3,12,15,25,13,12,12,15,7,8,12,7,10,13,7,6,13,8,5,2,0,23042
2,10,6,21,17,7,13,15,17,9,8,3,11,19,7,7,18,11,1,3,0,23510
6,8,21,13,18,15,19,12,6,7,15,2,11,6,2,4,18,18,4,0,0,22350
7,7,13,18,33,21,8,19,11,6,9,3,7,16,1,9,9,5,2,1,0,21295
4,12,15,27,18,15,7,15,5,5,9,6,6,18,7,8,9,8,3,8,0,22918
3,32,23,12,24,15,11,15,4,9,11,6,8,7,0,4,4,6,9,2,0,23040
1,9,16,18,16,20,4,12,6,5,16,22,6,10,4,5,8,14,9,4,0,21834
4,14,8,20,13,9,11,8,8,5,19,3,23,14,5,4,22,9,4,2,0,23339
2,12,17,25,15,28,3,6,3,10,21,2,4,21,4,6,10,6,6,4,0,21521
3,16,13,24,19,11,13,13,12,6,14,3,4,19,3,6,13,5,4,4,0,22815
4,7,2,21,17,6,27,4,11,6,14,2,22,14,1,6,26,7,7,1,0,23587
4,10,10,20,29,10,9,7,5,10,13,4,13,7,5,10,15,17,5,2,0,22938
3,17,9,19,13,5,19,11,13,3,20,7,16,10,3,5,17,5,3,7,0,23699
6,13,13,34,15,14,6,7,7,7,17,5,16,18,2,3,10,8,4,0,0,22337
5,10,9,20,14,13,12,13,12,8,9,6,6,12,10,9,12,16,3,6,0,23517
4,11,9,18,21,9,9,10,10,14,10,2,11,12,7,10,18,13,5,2,0,23548
5,10,17,10,16,11,11,5,11,11,10,8,6,12,12,10,11,17,7,5,0,23680
9,9,7,15,25,9,15,15,5,1,17,1,12,4,5,8,24,17,6,1,0,22863
6,4,5,18,16,26,6,9,23,14,24,5,2,20,6,6,4,5,2,4,0,21406
5,13,4,14,15,8,27,8,12,8,16,3,9,10,4,5,25,13,3,3,0,23753
5,33,9,20,5,5,10,5,4,4,26,1,14,15,3,7,26,5,5,3,0,24212
6,8,7,25,11,5,19,10,13,14,6,6,18,10,5,6,20,12,4,0,0,24140
4,15,3,20,19,7,21,6,13,13,13,6,7,13,6,9,17,6,5,2,0,23855
3,14,10,24,14,8,9,5,4,9,12,15,12,16,8,15,11,7,5,4,0,23594
5,13,3,21,20,10,10,11,12,15,12,5,7,18,4,7,10,10,5,7,0,23576
5,6,17,11,18,12,13,12,10,8,16,0,11,12,8,9,21,11,1,4,0,22875
3,11,7,21,24,16,16,15,4,3,16,1,8,15,2,8,19,13,2,2,0,22238
3,20,16,17,22,21,12,9,1,2,22,4,5,11,5,6,17,9,2,2,0,22068
6,15,3,14,12,11,21,7,9,10,17,3,7,17,6,10,21,15,1,1,0,23567
5,12,3,15,16,12,23,9,8,10,15,2,7,17,6,7,23,13,2,1,0,23409
1,24,21,47,7,17,0,10,0,1,35,10,1,7,2,3,6,8,2,4,0,21718
5,14,11,17,10,20,16,16,7,5,21,1,13,10,0,12,14,11,3,0,0,22168
6,11,12,18,11,17,9,18,7,3,20,2,9,25,6,2,5,15,9,1,0,22119
13,17,2,16,10,14,12,7,11,2,16,4,13,9,1,14,24,19,1,1,0,23315
6,10,7,30,13,6,10,12,4,15,15,4,20,17,4,8,10,6,4,5,0,23825
4,23,11,17,16,9,16,11,13,3,16,4,9,9,4,9,12,11,5,4,0,23630
2,13,10,34,19,28,0,8,0,1,30,2,8,9,3,1,13,16,4,5,0,21196
4,17,13,30,11,21,5,8,2,13,16,6,9,16,8,4,6,8,1,8,0,23180
6,17,14,7,12,24,22,4,0,2,8,2,14,7,3,4,38,19,2,1,0,23307
4,11,24,24,12,8,5,8,8,10,18,4,13,10,5,11,12,8,6,5,0,23280
2,15,10,16,17,8,22,10,8,8,16,4,9,12,5,2,24,7,8,3,0,23752
5,18,13,24,21,5,17,10,4,4,13,3,14,20,2,1,14,3,7,8,0,23862
5,21,12,31,10,28,5,5,0,5,31,3,1,21,2,2,10,5,3,6,0,21650
6,18,15,24,19,14,15,13,4,3,14,5,7,6,10,7,14,8,4,0,0,23083
5,19,12,17,10,12,21,8,5,13,16,6,11,5,6,11,15,5,4,5,0,24153
3,28,8,28,18,15,8,2,3,3,19,3,18,6,3,2,23,8,7,1,0,23477
3,6,5,37,11,18,9,7,8,10,20,7,5,13,10,6,11,6,3,11,0,23204
4,6,28,13,31,8,14,6,0,0,16,0,19,12,0,0,44,3,2,0,0,22289
3,11,3,20,10,19,15,15,12,8,11,5,6,16,5,10,17,15,2,3,0,22977
4,19,16,26,9,4,22,13,10,7,12,0,13,5,5,3,25,7,3,3,0,24490
5,17,13,20,11,13,18,5,15,4,17,3,10,11,10,5,12,6,8,3,0,23641
5,4,5,22,18,14,13,11,14,14,3,9,10,10,8,12,9,12,6,8,0,24008
4,7,8,27,10,20,5,15,13,6,23,13,5,23,8,2,4,5,4,5,0,21993
4,19,9,17,11,14,20,14,6,9,9,6,12,15,10,6,12,8,5,1,0,23989
4,11,13,24,15,13,8,16,9,11,15,12,12,9,6,4,10,5,6,4,0,23171
5,13,12,17,13,23,11,9,12,2,7,6,10,14,11,10,13,12,3,4,0,23147
6,5,15,39,17,15,5,9,4,6,24,5,20,9,3,0,11,4,6,4,0,22293
4,7,16,24,12,27,12,6,5,5,25,5,8,15,3,5,13,4,7,4,0,21646
3,14,9,16,28,12,40,14,5,1,25,0,6,17,1,6,6,2,2,0,0,22019
7,5,5,11,18,16,11,17,16,8,14,3,16,9,7,7,18,15,4,0,0,22831
4,10,11,17,22,26,16,11,7,11,11,6,3,17,3,9,6,10,5,2,0,22040
5,12,27,16,17,13,7,12,4,0,29,8,13,17,2,0,7,9,7,2,0,21602
4,10,7,15,12,8,17,13,10,12,18,5,11,16,6,13,14,13,0,3,0,23490
1,12,3,13,16,12,24,9,11,8,11,11,10,11,10,9,7,6,20,3,0,24115
6,13,2,15,12,14,20,13,19,13,13,3,7,9,6,12,12,15,1,2,0,23668
4,18,16,28,16,14,2,8,9,12,15,9,6,10,3,1,16,4,13,3,0,23344
3,7,18,13,34,8,5,17,2,9,9,19,18,9,1,11,13,5,6,0,0,22345
4,7,6,29,14,15,3,8,13,17,15,8,11,14,11,5,8,8,5,6,0,23552
6,5,9,25,22,3,9,16,14,13,18,3,10,13,11,7,11,8,2,2,0,23385
6,18,17,16,22,14,14,14,8,3,20,3,5,11,5,5,12,6,7,1,0,22584
3,15,6,24,14,16,10,12,3,8,18,2,8,25,5,2,15,11,4,6,0,23098
7,13,1,16,15,14,20,16,19,13,13,3,3,6,6,12,13,14,1,2,0,23584
1,12,17,15,25,9,14,17,13,5,14,5,9,6,6,8,11,15,2,3,0,22913
4,11,7,20,19,14,20,11,9,6,9,11,5,8,5,7,15,17,5,4,0,23381
10,12,3,24,17,2,16,6,12,1,22,3,18,8,3,4,24,15,6,1,0,23721
7,7,8,25,15,12,10,16,5,6,12,5,13,15,5,4,26,7,5,4,0,23361
2,6,12,17,17,21,9,16,12,11,16,8,4,15,10,9,8,8,2,4,0,22327
4,20,8,22,16,17,9,7,7,4,20,1,13,18,5,3,21,6,6,0,0,22896
9,15,6,24,12,3,17,6,12,13,8,6,13,6,9,11,20,8,5,4,0,25218
6,11,9,16,10,10,20,14,14,9,12,1,11,17,6,5,11,17,7,2,0,23846
5,17,8,26,17,24,7,12,10,8,13,2,6,16,9,9,10,3,3,3,0,22905
5,7,17,17,8,16,21,9,5,9,19,2,8,18,4,8,21,11,3,0,0,22764
7,15,5,15,16,14,13,16,13,10,10,2,11,16,6,7,14,16,0,2,0,23593
1,9,21,9,12,25,22,13,5,7,14,14,3,11,9,3,13,7,8,2,0,22493
1,23,7,17,10,17,31,9,12,3,11,5,6,9,10,10,14,6,4,3,0,24205
5,19,5,31,21,10,8,7,4,5,18,4,8,14,1,9,17,15,4,3,0,23279
7,22,11,25,12,4,13,1,8,12,13,6,8,11,7,5,21,10,4,8,0,25253
6,6,8,20,12,16,4,12,19,12,10,9,10,16,14,4,10,8,5,7,0,23831
5,8,12,10,33,11,14,10,4,3,11,11,15,18,6,11,14,8,4,0,0,22555
1,24,44,17,23,28,2,11,1,4,21,6,4,3,0,2,3,5,8,1,0,21161
4,14,28,22,22,25,2,9,2,3,18,12,10,18,0,2,2,5,5,5,0,21376
5,10,5,36,15,7,13,11,13,13,7,3,21,7,5,8,14,6,7,2,0,24414
11,10,4,12,15,7,26,6,10,6,8,3,6,16,7,14,23,15,6,3,0,24479
8,3,9,18,15,8,14,12,22,11,9,1,13,10,6,6,24,14,3,2,0,23883
8,5,7,15,32,14,8,35,10,2,20,1,4,13,4,11,6,5,7,1,0,21531
4,18,8,32,13,16,11,8,10,5,17,2,6,18,6,4,20,5,5,0,0,23130
7,29,21,23,14,16,10,8,5,4,23,4,11,8,1,2,11,5,5,1,0,22994
8,6,7,32,19,7,7,16,23,19,6,4,4,14,7,11,4,4,8,2,0,23857
3,28,9,44,10,9,1,5,1,8,21,5,8,17,4,3,11,11,7,3,0,23865
10,17,6,16,6,13,16,12,11,13,14,1,5,11,7,9,17,19,3,2,0,24229
7,8,13,22,13,28,10,15,7,7,11,0,11,16,12,4,12,6,2,4,0,22739
4,14,9,23,16,12,11,11,8,4,15,1,11,10,4,5,22,20,4,4,0,23529
4,18,8,20,16,6,25,15,10,5,9,1,8,18,3,7,19,7,7,2,0,24150
3,16,11,32,12,18,18,10,4,3,11,7,3,18,7,5,12,10,8,0,0,23067
17,13,11,26,11,13,10,8,8,9,12,2,6,15,4,7,14,13,8,1,0,23663
9,7,17,20,12,13,7,11,8,11,18,7,3,17,9,10,9,8,6,6,0,23230
9,2,47,11,9,24,5,15,9,8,11,11,6,9,12,2,7,5,6,0,0,21892
7,13,6,16,17,15,14,15,14,10,10,2,11,14,6,7,14,15,0,2,0,23462
6,10,13,25,6,13,5,5,7,5,23,5,12,21,4,12,9,13,8,6,0,23061
3,21,26,15,18,9,3,14,4,2,20,5,11,5,14,6,11,7,4,11,0,24176
10,5,7,27,16,18,7,8,12,3,27,9,9,22,6,7,4,5,1,6,0,22077
9,9,6,28,9,35,7,19,6,8,20,3,6,7,7,12,7,6,2,3,0,21943
2,15,42,26,26,17,0,11,7,0,14,11,2,4,3,1,5,6,8,9,0,22278
5,9,8,17,23,9,20,9,10,3,11,2,8,11,3,14,33,9,4,1,0,23565
10,2,5,21,9,15,20,10,11,13,10,1,13,11,6,15,14,17,4,2,0,23822
3,11,33,14,21,18,3,5,5,4,26,7,15,10,0,0,21,3,3,7,0,22074
6,9,15,4,17,13,40,4,3,8,15,3,4,3,6,5,33,15,4,2,0,24034
10,7,9,21,20,6,25,11,9,11,17,3,8,5,6,8,15,13,3,2,0,23858
2,21,7,28,21,15,12,8,4,5,14,1,10,10,4,4,21,14,8,0,0,23528
4,11,11,21,22,4,21,9,11,9,10,16,8,8,3,5,15,8,10,3,0,24047
4,6,7,14,25,13,10,10,10,11,9,10,11,13,7,12,17,3,6,11,0,23998
3,4,24,31,15,22,2,23,11,6,16,1,19,7,0,7,5,7,6,0,0,21588
4,10,18,19,13,18,10,15,7,10,30,1,6,7,8,7,11,7,5,3,0,22497
5,9,35,35,18,14,4,7,2,3,19,8,11,12,5,1,7,9,3,2,0,22122
5,13,10,16,19,15,19,11,9,6,11,3,14,14,4,5,21,9,4,1,0,23424
1,9,15,22,14,10,24,5,10,16,12,4,5,20,6,7,17,6,3,3,0,23881
5,8,5,42,23,20,5,9,6,9,18,10,4,16,6,6,2,5,4,6,0,22433
5,11,17,20,11,11,7,9,13,9,25,1,12,14,6,9,13,9,2,5,0,23226
6,11,15,12,15,21,17,5,5,11,21,9,11,10,2,4,19,6,8,1,0,22743
8,9,6,21,11,10,19,11,14,10,15,6,5,13,6,9,15,15,5,1,0,23719
2,10,26,29,19,22,4,5,5,6,16,3,13,9,6,2,11,13,7,1,0,22300
4,8,10,19,13,18,10,11,10,5,11,8,10,21,9,5,14,12,9,2,0,23138
6,6,11,24,6,9,18,11,14,10,20,3,8,12,10,10,16,8,4,3,0,23850
4,15,11,17,11,15,10,10,5,11,17,6,6,25,7,9,10,12,6,3,0,23466
7,18,13,19,9,12,8,14,10,7,24,9,5,5,10,7,19,9,3,2,0,23705
6,8,25,26,21,22,9,13,12,8,7,1,9,7,1,3,11,15,5,1,0,22484
5,9,12,20,9,9,11,11,9,5,19,8,5,15,8,9,12,16,14,4,0,23773
3,8,11,32,10,18,12,9,7,7,15,4,13,14,12,8,10,13,2,2,0,23356
6,16,11,29,16,11,14,13,10,8,13,6,11,16,4,4,9,5,5,3,0,23722
7,16,11,19,5,9,13,15,14,6,9,2,17,17,8,4,21,12,4,1,0,24551
4,25,7,22,12,10,23,8,9,4,24,2,9,6,3,4,21,13,3,1,0,24008
1,23,20,24,16,22,3,9,4,6,24,7,4,16,2,2,13,8,1,5,0,22427
3,15,8,17,13,10,26,14,9,5,18,1,6,13,1,5,34,9,3,0,0,23671
6,6,3,28,15,18,9,7,15,16,16,11,8,19,4,9,5,7,4,4,0,23053
2,13,11,28,19,17,13,17,4,4,17,2,7,10,8,7,10,13,3,5,0,23135
5,23,7,26,9,12,18,2,3,1,30,2,18,6,2,2,25,10,7,2,0,23858
9,8,13,4,32,11,22,8,6,0,17,1,9,13,1,11,21,18,3,3,0,22810
1,11,23,21,38,13,1,14,3,6,4,21,12,11,8,8,4,5,5,1,0,22554
3,8,8,23,15,8,11,11,10,11,12,11,13,19,7,9,13,8,6,4,0,23949
3,8,26,23,25,16,3,16,4,3,20,7,5,15,8,0,14,7,2,5,0,22170
5,5,14,12,23,9,8,25,14,1,15,12,6,15,3,13,11,9,6,4,0,22529
5,11,5,16,18,11,19,14,10,11,20,5,15,9,3,8,15,8,5,2,0,23554
4,7,18,27,14,21,6,8,9,9,24,2,13,13,5,4,10,7,7,2,0,22346
1,18,21,2,33,4,1,16,3,0,2,74,13,11,2,1,4,2,2,0,0,22405
3,8,17,11,11,14,11,7,23,11,12,4,11,18,10,5,15,11,6,2,0,23712
5,17,13,17,18,17,11,9,4,3,20,4,8,16,9,5,16,10,7,1,0,23114
8,10,11,23,14,15,12,7,9,10,16,1,11,15,6,9,17,11,2,3,0,23548
